Daten vom 24. December 2021
764 W 12:26:14 24. 12. 21
743 W 12:31:25 24. 12. 21
766 W 12:36:37 24. 12. 21
741 W 12:41:45 24. 12. 21
686 W 12:46:53 24. 12. 21
667 W 12:52:01 24. 12. 21
630 W 12:57:10 24. 12. 21
589 W 13:02:17 24. 12. 21
619 W 13:07:26 24. 12. 21
626 W 13:12:34 24. 12. 21
650 W 13:17:42 24. 12. 21
692 W 13:22:50 24. 12. 21
683 W 13:27:58 24. 12. 21
630 W 13:33:07 24. 12. 21
618 W 13:38:14 24. 12. 21
637 W 13:43:23 24. 12. 21
630 W 13:48:30 24. 12. 21
588 W 13:53:39 24. 12. 21
514 W 13:58:47 24. 12. 21
482 W 14:03:56 24. 12. 21
489 W 14:09:05 24. 12. 21
473 W 14:14:14 24. 12. 21
454 W 14:19:22 24. 12. 21
429 W 14:24:30 24. 12. 21
427 W 14:29:38 24. 12. 21
378 W 14:34:46 24. 12. 21
280 W 14:39:54 24. 12. 21
241 W 14:45:02 24. 12. 21
0 W 19:52:26 24. 12. 21
