Daten vom 26. January 2022
1,98 kW 12:24:15 26. 01. 22
Daten vom 26. January 2022
1,99 kW 12:29:29 26. 01. 22
Daten vom 26. January 2022
2,24 kW 12:34:37 26. 01. 22
Daten vom 26. January 2022
2,4 kW 12:56:42 26. 01. 22
2,38 kW 12:58:31 26. 01. 22
2,41 kW 13:03:09 26. 01. 22
2,43 kW 13:03:47 26. 01. 22
2,43 kW 13:04:25 26. 01. 22
2,61 kW 13:05:28 26. 01. 22
1,85 kW 13:10:36 26. 01. 22
1,09 kW 14:14:01 26. 01. 22
1,11 kW 14:19:12 26. 01. 22
1,43 kW 14:24:20 26. 01. 22
1,59 kW 14:29:28 26. 01. 22
1,56 kW 14:34:37 26. 01. 22
1,55 kW 14:36:26 26. 01. 22
1,87 kW 14:41:35 26. 01. 22
1,97 kW 14:46:43 26. 01. 22
1,91 kW 14:51:52 26. 01. 22
1,85 kW 14:57:00 26. 01. 22
1,57 kW 15:05:10 26. 01. 22
1,06 kW 15:10:20 26. 01. 22
1,17 kW 15:15:28 26. 01. 22
1,03 kW 15:20:37 26. 01. 22
289 W 15:25:46 26. 01. 22
90 W 15:30:54 26. 01. 22
100 W 15:36:02 26. 01. 22
101 W 15:41:11 26. 01. 22
91 W 15:46:20 26. 01. 22
81 W 15:51:28 26. 01. 22
66 W 15:56:40 26. 01. 22
58 W 16:01:50 26. 01. 22
65 W 16:07:02 26. 01. 22
71 W 16:12:13 26. 01. 22
0 W 18:12:29 26. 01. 22
0 W 18:20:07 26. 01. 22
0 W 18:25:15 26. 01. 22
0 W 18:30:42 26. 01. 22
0 W 18:35:59 26. 01. 22
0 W 18:41:13 26. 01. 22
0 W 18:46:28 26. 01. 22
0 W 18:51:42 26. 01. 22
0 W 18:56:53 26. 01. 22
0 W 19:02:04 26. 01. 22
0 W 19:07:17 26. 01. 22
0 W 19:12:32 26. 01. 22
0 W 19:17:45 26. 01. 22
0 W 19:23:00 26. 01. 22
0 W 19:28:15 26. 01. 22
0 W 20:15:39 26. 01. 22 
0 W 20:20:49 26. 01. 22 
0 W 20:25:58 26. 01. 22 
0 W 20:31:09 26. 01. 22 
0 W 20:36:20 26. 01. 22 
0 W 20:41:33 26. 01. 22 
0 W 20:46:44 26. 01. 22 
0 W 20:51:55 26. 01. 22 
0 W 20:57:07 26. 01. 22 
0 W 21:02:19 26. 01. 22 
0 W 21:07:31 26. 01. 22 
0 W 21:12:51 26. 01. 22 
0 W 21:18:05 26. 01. 22 
0 W 21:52:27 26. 01. 22 Heiter
0 WHeiter 21:53:37 26. 01. 22 
0 W Heiter 21:54:08 26. 01. 22 
